Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9310000,14861000,19039000,30272000,77030000,100962000,141882000,187881000,131284000,172305000,239397000,274348000,404535000,567345000,638101000,953589000,1279630000,2072681000,1902602000,2031324000,1293019000,740236000,603318000,579500000,621549000,731878000,812858000,811938000
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8542493.82,6998269.558,8797072.411,5940382.481,5376050.472,5313700.54,4363333.855,6821804.17,5997199.11,3930143.967,4496361.471,4508720.162,2332902.103,2158494.302,2087967.173,2463668.236,2355623.71,2825143.545,3267998.005,330638.5684,193606.1582,206185.857,225443.0491,241799.9633,1114227.941,4957959.182,6163321.192,5235126.899,6978499.112,14846058.03,21041437.16,19085453.31,15722808.12,19331789.25,0,0,0,0
Belgium,0,0,0,0,0,580808349.6,663999267.6,713931457.5,987577941.9,1130499146,1280031494,1187483032,994580749.5,892699218.8,793433410.6,779245666.5,986456298.8,1276381836,1380126343,1508718384,2309630859,2432428223,2896886230,3029477295,3659792236,3251686279,3418260742,3125033203,3347351807,3653230957,3587770752,3905530518,1628741741,2097327654,2342483501,2426083651,2564697223,3201618745,4123817771,4291702746,4142285273,4504366771,4303018198,4548072301,5251309838,4441158754,4564818716,4747435274,5611363725,5335509513,6233671514,7108094424,7783782714
Benin,0,0,0,0,2687941.313,2664328.575,1330819.607,1208891.153,1511150.599,1842783.809,2120413.303,1898933.649,23773132.32,22295349.12,28693920.14,11129339.22,2887620.449,3327382.088,15516963.96,15151329.99,20687581.54,20727602.97,21149125.07,21458697.02,23251784.61,26484507.04,33615322.66,17064455.45,29877018.36,5934716.829,8901617.842,10267645.66,6648280.332,5247479.748,5637750.016,33541431.02,60845024.6,107687774.6,74614342.84,70228496.43,63440509.31,61631882.65,87741932.92,101062518.8,144363224,98216933.46,88136694.41,72946194.17,94458843.34,87497446.54,92063088.59,100184328.7,0
Burkina Faso,0,0,0,0,13680665.02,31015398.03,30261497.5,40516170.5,34348766.33,39394203.19,51931194.31,45419841.77,35510585.78,39783130.65,35529838.56,40757865.91,49268581.39,58355628.97,56955184.94,56073776.25,80855110.17,70661155.7,70100395.2,61805484.77,50952377.32,49878166.2,48803951.26,47729740.14,46655525.21,45581314.09,44507102.97,44031791.69,50096973.42,77183372.5,79165634.16,83860215.66,86153890.34,93321883.26,100015685.8,99707964.59,111897013,42037257.87,71420129.87,148953261.9,160554578.5,180767735.8,188062679.7,198931795.9,208745502.4,196545204.7,201769454.2,202582629.8,0
Bangladesh,0,0,0,0,0,0,720442.6527,517298.758,266491.8005,195129.6926,392002.4037,223066.7025,133171.5137,162511.2742,196470.6928,415305.5549,0,0,0,0,0,0,0,0,0,0,790506.6271,1714249.528,2557265.566,3704857.23,4378216.685,3699706.708,5734840.986,7068562.162,7743207.699,5457649.19,3322209.508,2809832.242,14330657.12,7791556.368,9418584.307,11612731.71,11741740.26,19553597.14,32521361.43,32102746.72,41213540.69,46838244.51,56932184.62,82792588.33,94827814.18,100464837,136765742.2
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33500000,15500000,3420338.638,3817229.843,25957718.8,26957168.67,14492716,12586214.16,29436635.35,35452285.33,49577452.77,102605421.7,161810952,101249928.6,90350000,104540000,107090000,161950000,169060000,114850000,126530000,163040000,195080000,204570000,189120000,157230000,188040000
Bahrain,0,0,0,0,0,263463958.7,292467742.9,347529388.4,448570159.9,322574310.3,329973266.6,367287231.4,372872345,345478729.2,384042541.5,778457458.5,716223388.7,672074462.9,668617004.4,693882995.6,332180851.1,369148936.2,335638297.9,395744692.3,430585146.5,499734081.3,559308559,634840484.6,725000072.3,856171707,1012681830,1286918851,871542553.2,1082180851,1119946809,1223404255,1530851064,1482771277,1774489021,1390957447,1641755319,2050000000,2074468085,2165957447,2364361702,2367287234,2391489362,2465957447,3268882979,0,0,0,0
"Bahamas, The",0,0,0,0,0,0,26500000,29200000.76,38900001.53,27200000.76,41700000.76,30500000,35200000.76,26700000.76,32400001.53,33700000.76,32200000.76,39500000,47400001.53,39700000.76,38700000,49500000,28800000,27300000,28000000,31700000,33200000,36800000,39300000,47100000,56170000,53620000,57669730,62750000,71390000,83964350,100290000,94990000,65924820,63340000,88040000,119727000,139704000,138725000,150819241,178800140.7,193848517.9,262328167.5,210701450.4,206936185.7,235468493.5,246134328,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350912.047,10807341.19,14009275.68,20021614.02,62067340.78,39993450.05,54510130.99,65397819.04,55292739.2,55055851.87,46440159.07,51680114.14,46846961.26,48445049.04,46847045.16,55544289.46,60512502.94,63649593.43,83628912.5,84373799.56,96760344.48,105827536.8,101709133.8
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000,17000000,11900000,35600000,25700000,19900000,4800000,9600000,33200000,48800000,28100000,47100000,52200000,70400000,103200000,171000000,133000000,115700000,133800000,141700000,150800000,181200000,162300000,123800000,137800000,159900000,185900000,245200000,240200939.1,236105492.1
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6800000.191,6400000.095,4650000.095,5349999.905,6000000,6000000,7150000,5700000,6000000,6000000,6568500,6881500,6875000,7550000,6900000,5972124.5,6435358.715,16029825.41,16651088.77,19749508.97,18013818.14,19332237.98,20608628.34,21454975.42,27977571.05,22508922.2,21991807.71,23529361.44,26326846.23,31523217.67,33269797.51,41161360.53,45202220.8,45607619.89,42979100.74,41881051.83,42407418.74,41695830.97,41395472.38
