,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71350000.0,153730000.0,228986400.0,166647970.0,182652132.0,182160000.0,209240000.0,263890000.0,335860000.0,787519510.0,915231161.8,1169173063.0,1644375091.0,1904067123.0,1439809232.0,1669336819.0,1798624692.0,1914983997.0,2192193827.0,2078618315.0,1491475903.0,1382330887.0,1538655752.0,1488016544.0,1527961727.0,1327006085.0,1556822543.9487724,2034782390.000369
11,American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11185185.43,11744444.85,12337037.09,13196296.69,12533333.78,3048148.155,2714814.901,11629630.09,11948147.77,3333333.254,8940740.741,9537037.037,18755555.56,18394444.44,17342962.96,23676666.67,14242166.67,16372237.04,17601625.93,18305488.89,19325720.37,20783287.04,21828402.59,20658718.89,20197666.67,20292610.0,20856220.0,21127350.74,32078216.23,31244412.26,26705675.65,24020044.35,24706009.46,24706009.46,24706009.46,45265850.39935317,34590023.040771484
13,Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180320037.8,176046508.8,228958923.3,280555023.2,308759124.8,286614196.8,305269104.0,326544830.3,415642852.8,495797180.2,631592773.4,740711547.9,771140441.9,900273193.4,956123474.1,1009029114.0,1053348999.0,1396266846.0,1884704224.0,2402261230.0,2369583740.0,2484919434.0,1926091797.0,1101867798.0,1276966675.0,438888326.4,517894423.7,538747822.2,501585257.2,531812423.8,518334052.9,486744685.8,465722534.0,651572145.1,824729101.2,940407766.6,1014841491.0,1341851616.0,1526025147.0,1334648953.0,1864472761.0,2449287569.0,2405316867.0,2389397584.0,2292096914.0,2174651380.0,2056844753.0,2001928453.0,1861417361.0,1752198311.0,1190622992.0,936423063.1670166,1297839480.9535432
14,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16576923.37,24760213.85,36248191.83,52594650.27,80947891.24,87247398.38,105288040.2,118988021.9,154029663.1,198398651.1,244725067.1,223906967.2,220660125.7,214508590.7,197660034.2,201390884.4,303058471.7,400337341.3,448963897.7,469524231.0,634832336.4,772377197.3,815280883.8,768971069.3,844941223.1,1012422485.0,984293640.1,915090698.2,1416633179.0,1809788330.0,1804517334.0,1774000488.0,1985329834.0,2496145508.0,2520989014.0,2313507128.0,2517171821.0,2915622152.0,3189808743.0,3101681749.0,2983488446.0,3250804926.0,3028188699.0,3261505684.0,3239901779.0,2863606817.0,2887576591.0,2956934246.0,3107741914.0,3045303722.0,3089484297.0,3223701892.8571424,2888022324.891787
15,Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,4098000.05,5196000.099,6294000.0,54492000.0,57132000.0,104125000.0,163317000.0,155957000.0,203578000.0,623235000.0,790214000.0,1267735000.0,1518327000.0,1254645000.0,1410296000.0,1893080000.0,1990180000.0,1733168000.0,1846424000.0,1269964000.0,643148000.0,1133371000.0,1225790000.0,1275168755.0,1403087000.0,1526636000.0,3950029000.0
16,Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41783.99491,71562.16161,11470.97177,189948.9405,3645216.677,28232147.76,34498929.51,45463176.87,46433649.09,48639473.9,56262591.43,51041087.26,31276058.24,33725358.65,48328631.78,48328631.78,45630633.6,48328631.77946598,48328631.77946598
17,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662297424.3,658915466.3,754823120.1,956470520.0,1041822876.0,1139075073.0,948875671.4,837334533.7,848768920.9,780039001.5,817282897.9,1098416260.0,1275191284.0,1430124512.0,2736618164.0,3583137695.0,3972553223.0,4475618164.0,4580757324.0,4612880859.0,4936722168.0,4947035645.0,4328916992.0,4204201172.0,4466878906.0,4004603516.0,3933338623.0,4534638939.0,5778136096.0,6562530149.0,6884305724.0,7268884910.0,8991846091.0,10479068217.0,11090651437.0,10993669270.0,11728548905.0,11171452382.0,11695085498.0,12161003266.0,10464912315.0,10786360682.0,11435497317.0,12448569091.0,12178118946.0,12693508977.0,13708875824.170267,13437737945.630453
18,Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7382490.635,17591100.69,28039279.94,39181098.94,56236076.35,72921585.08,77002243.04,62006073.0,36949996.95,43845420.84,42065956.12,40288208.01,50822120.67,60225616.46,71116760.25,91336494.45,101049423.2,117970527.6,136306823.7,108893981.9,89481948.85,98932296.36,84917981.87,70106471.13,89178475.71,75026904.54,85876253.12,83064161.12,76107818.02,55401177.09,63117010.27,146939347.9,195673786.1,240793733.4,207863209.4,126457222.3,139569120.5,172185775.3,207763555.2,248800533.7,304659193.7,214449579.5,221726215.0,195776833.9,198742396.0,216993145.2,206141166.1,230914333.08778033,231000000.0
19,Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35940307.62,47654621.12,51023120.88,60147422.79,78074638.37,109669143.7,150431030.3,153360977.2,110302223.2,113213974.0,90237777.71,125921798.7,191625381.5,173280075.1,187028152.5,155259277.3,139672851.6,112967811.6,128813964.8,117222412.1,80346946.72,78178306.58,76009666.44,73841026.31,71672386.17,69503746.03,67335105.9,49915523.53,58734134.67,53747390.75,44417327.88,56664819.6,67996281.78,84436174.13,99742143.2,96373875.86,120462189.1,221068018.7,209980744.4,308469520.2,396308040.7,384985616.4,397373892.5,416839243.1,455650092.2,467251841.7,464677564.4,570950968.5801047,588577500.0
