Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,% of GDP in 2022
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.60000000000002,624.99667679,788.6984168004001,454.08346197109995,323.6425382684229,444.73079048332613,524.1634785287775,228.9918092151333,167.89446428252646,143.97910623096095,234.61870060052505,217.29231799093785,225.42060647991676,225.42060647991676,225.42060647991676,0.0
Albania,0.0,0.0,0.0,4.13572807,4.86374036,6.5117980461410605,26.532132030652928,9.94,279.7,229.8197823330384,209.30682156565598,150.85510534462838,215.77564388998007,190.5512936434099,178.722842218417,153.31240047805892,147.15675738801244,106.33098291276094,114.87933694313179,119.67964076947914,124.63037566919759,140.34430970129867,149.48965321212165,0.8076592642072595
Algeria,0.0,0.0,0.0,0.0,0.0,26.999999999998785,35.000000000001585,48.86373265194798,26.782545164134874,45.70240583643372,28.0,30.901604941008035,44.242618918850376,38.715810197915296,295.9221121414799,72.12899059293858,76.63349632156572,214.37805673439382,87.00638320505239,81.5453645801962,149.25346526299762,83.25931940874878,82.20237377324949,0.04215506347346128
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,83.80427498046606,70.51409070292239,70.51409070292239,0.0
Angola,266.29,216.06,223.50795912,229.84996999999998,296.0095912,214.9052159,412.66678497,602.6714512799999,669.453676,716.0,714.458886,564.261541640106,2051.320868263263,2395.9658557973194,2746.6158731854075,1252.9090116900002,1176.11031356,961.4152762399999,681.6270154922674,549.0820425510593,576.4714367789888,445.40014382405803,517.6681873929803,0.42782494825866135
Antigua and Barbuda,1.558148148148148,1.5644444444444443,1.4114814814814813,1.4892925925925926,1.5667370370370368,1.6701407407407407,1.8371548148148147,2.1311003703703704,2.367652222222222,2.1223629629629626,2.06696,2.0471162962962963,2.1576607407407407,2.222448148148148,52.099999999999994,52.82264438,54.74292749629629,55.44539011111111,54.17426754814814,47.77273321741111,44.60805724616556,52.574952038868524,52.574952038868524,0.0
Argentina,267.7,256.09999999999997,119.55000000000001,180.41,234.47000000000003,314.01,356.5,463.19209727043307,631.436069113049,766.5715483081789,1037.765445694394,1137.05450560572,979.2059223331753,887.8034865611369,732.4145571459818,685.0013659142787,769.2420579867332,1060.484529955312,1010.3755356443319,669.9322914146255,522.669980372616,588.6825236603484,590.6982232094605,0.09346490873567413
Armenia,3.52,18.08,22.79121445484634,25.591178,184.1668452596311,207.3690581414882,182.0599332143101,238.8327306794502,223.59746686358557,180.49451585985582,227.42987633583851,300.39419348561984,314.7886917454556,355.2978612338362,390.5899788144923,363.78846880536753,358.0155071149378,367.4964437645902,341.2625754164423,362.6718341478563,304.365569428434,352.7756077196482,604.4870378097881,3.0994566877392615
Aruba,43.74301675977654,39.11173184357542,45.9608938547486,47.6368715083799,49.072625698324025,61.93074493957178,71.86417125112862,73.07262569832402,75.64245810055866,72.96089385474862,64.91620111731844,63.910614525139664,67.82122905027933,66.6523687150838,70.22269217877094,74.97801340782124,98.0,108.04552036978181,111.65095692643362,112.62759755060499,101.76256721989665,111.33164874942003,108.25447599808315,3.099183395307276
Australia,868.990623794047,855.0783674215286,991.4884924146961,1380.8071378144095,1608.9665095388423,1531.0792164499176,2051.2272194533475,2980.8708740737566,3366.427026749123,3224.4011816774973,4655.461396622254,6597.638171474064,7084.418881546252,7253.781716439253,6953.239775091641,6037.610106728199,6179.374297708557,6793.253706781762,7268.447090409901,7438.424190330277,4422.969039301674,3812.2317556201306,6349.716245454545,0.3735127203208556
Austria,0.0,0.0,0.0,0.0,0.0,2118.6724810334554,2302.2,2592.0714659529845,2984.770130750559,2909.179496783331,2989.9783049061966,3622.7558523809294,3450.702386156926,3895.7007785215333,4962.526962174311,4750.215267752608,4885.123590773487,5369.093592332485,6206.351378910259,6423.312126488024,6449.590512028975,7147.085508369405,7147.085508369405,0.0
Azerbaijan,100.96199999999999,141.882,187.88099999999997,131.284,172.305,239.397,274.348,404.53499999999997,567.345,638.1009999999999,953.5889999999999,1279.63,2072.681,1902.6000000000001,2031.324,1293.019,740.236,603.318,579.5,621.549,731.8779999999999,812.858,811.938,1.1614711183589392
"Bahamas, The",56.17,53.62,57.66973,62.75,71.39,83.96435,100.28999999999999,94.99000000000001,65.92482,63.34,88.03999999999999,119.727,139.704,138.725,150.8192409824,178.8001407306,193.8485178571,262.3281674932,210.70145042809997,206.89999999999998,235.46849352000152,246.1343280200017,246.1343280200017,0.0
Bahrain,1012.681829787234,1286.9188510638298,871.5425531914893,1082.18085106383,1119.9468085106382,1223.4042553191491,1530.8510638297873,1482.7712765957447,1774.4890212765958,1390.9574468085104,1641.7553191489362,2050.0000000000005,2074.468085106383,2165.9574468085107,2364.36170212766,2367.3,2391.4893617021276,2465.9574468085107,3268.8829787234044,0.0,0.0,0.0,0.0,0.0
